video_id	title	info	tags	duration	category
0	The human cubs are really awesome!	Like comments forward attention	[1409, 2913, 4886, 4841, 361, 730, 1507, 5081, 972, 3006, 2236, 4095, 4099, 623, 3205, 504]	124	3
1	BGM-GIORNO'STHEME with saxophone blowing JoJo's golden wind on the streets of Naples	https://www.youtube.com/watch? v=dhByCk19lYQ	[4510, 4620, 569, 5796, 5252, 4649, 261, 1965, 2816, 5620, 5399]	111	0
2	[National Man Mixed Cut] Sunken fish and wild geese, closed moon and ashamed flowers. This is probably the beauty of the East!	Little sister is so beautiful	[2744, 5741, 4509, 3063, 1203, 789, 839, 2524, 493, 3485, 2517, 3006, 6055, 1783, 2386, 1644, 4554]	164	6
3	* can't believe someone sang TheBadDEST like that! KDA Girls 'Cover	Original: K/DA-The Baddest Cover:Spoon Mix: Spoon	[2262, 2003, 1925, 5953, 1881, 1317, 5569, 5841, 744, 3282, 3481, 1528, 5074, 1283, 5691, 5642]	166	1
4	Undercover Starbucks|Exposed to use expired ingredients, has been involved in the investigation	"Wuxi Market Supervision"" WeChat public account on the evening of December 13 news, In response to media exposure Wuxi two Starbucks stores have ""Replace ingredient labels use expired ingredients"" problem, Market supervision department attached great importance to, On the same day immediately organized a special class to carry out comprehensive verification and disposal work. The market supervision department carried out investigation on other 82 Starbucks stores in the whole city at the same time, and found 15 problems such as employees not wearing work caps, articles in the processing area in disorder, incomplete disinfection records, etc., which have been ordered to rectify. The Municipal Market Supervision Bureau conducted an administrative interview with Starbucks (China) East China North District, requiring the company to conduct comprehensive self-inspection on the existing food safety problems and implement rectification. Video Source: CCTV Finance and Economics Station Editor:Seafood noodles"	[5311, 4778, 1441, 1984, 4468, 2236, 6005, 3205, 1074]	88	3
5	Have you been frugal today?	One penny snatch profit road repair the same transparent fish tail shoes, the world limited to only 5000 pairs! 7.3-7.10 Search on Alipay [more than]. You~	[2346, 5115, 738, 1527, 6000, 2351, 5966, 3687, 2236, 2302, 2793, 2263, 5201, 2890, 841, 3711, 1414]	81	2
6	[Wang Laoliu] Master of Anti-Ersai	How many mines do you have?	[2449, 4866, 887, 447, 5115, 4657, 5125, 2263, 242, 6000, 4649, 5007, 2236, 1143, 4512, 4027, 3711, 2298, 2837]	74	2
7	Molten steel explosion accident, the power is huge beyond imagination!	Tangshan Dragonfly Animation Design Co., Ltd.15176629012	[1482, 1311, 3955, 1203, 2472, 144, 4146, 3516, 3140]	91	6
8	Mitsuko, come and fix this tile. I fell in and can't get out.	Xiaoyue: Photon, come and fix this tile. I fell in and can't get out	[3164, 1128, 4654, 3400, 2958, 2813, 5074, 1715, 531, 6085, 2961, 5802, 489]	94	5
9	Genuine peace elite can play without downloading? A link! Done!	Brothers, the times have changed, the genuine king of eating chicken can play directly without downloading! This time I'm lucky!	[1391, 2455, 5844, 890, 2958, 1715, 5074, 4729, 3527, 1611, 4834, 4189, 6072, 5371]	121	0
